docs,labels,weights
"In no time, then, I'm having my best Shake Shack meal yet. The Chicken Shack ( $ 6.29 ) has an outstandingly flaky, crispy batter with good spices and thick pickles. It's like",[positive],1.0
He gives Dominos Pizza as one example. Australias largest pizza company is up 18 percent this year after a 130 percent surge in 2015. The fund first bought the stock in 2012. Chief,[neutral],1.0
See a @HPE LTO Ultrium cartridge get used as a hockey puck & amp ; still function #tapestorage https://t.co/QfK8iWe99w https://t.co/gxf5owoOnF,[neutral],1.0
@carowarman yeah i know i already have that lol. but i'm gon na go on a mission rn to find one that delivers bww,[neutral],1.0
He previously worked with computer vision and multimedia research at Microsoft Research. There will be copies of his book available for sale at the event. Most Read Active,[neutral],1.0
"Committed to delivering a client-first experience, AtlasFX partners with clients such as Starbucks, HP Inc., Red Hat Software, Celgene, Electronic Arts, AGCO, Dolby Laboratories, Lam",[neutral],1.0
#FatLoss #Fit Quickly Lose Weight With the GM Diet https://t.co/8zU4MMAboV https://t.co/C0kIha2c0t #Heat #Fitbit https://t.co/WYLSyOxxMZ,[neutral],1.0
I want Panera badly so I'm about to fly there fr,[positive],1.0
"Following on from that, MSFTs major OEM partners ( HP, Dell, Lenovo, Asus, Acer ) will be shipping their own Win10-compatible VR headsets starting at $ 299 [... ] On gaming, MSFT",[neutral],1.0
"I'm at @CrackerBarrel Old Country Store in Sulphur, LA https://t.co/qzNHRkKgNu https://t.co/t8RJ5J8nu1",[neutral],1.0
Luis finally bought me Starbucks,[positive],1.0
My phone keeps autocorrecting chuy's to Chimys,[neutral],1.0
Forgot I had leftovers from Texas Roadhouse..... my god,[positive],1.0
SPECIAL & gt ; & gt ; Lyft is giving you $ 50 ride credit enter the offer code BEG & gt ; & gt ; & gt ; Fill time at Wingstop !,[neutral],1.0
#ebay #buynow #deal Logitech Z333 2.1-Channel Subwoofer 80W Multimedia Speaker Sy... https://t.co/duIE0niHSj https://t.co/X7o0DV2vay #rt,[neutral],1.0
@dominos now delivers via canoe,[neutral],1.0
PlayStation 4 to get tournaments feature in collaboration... https://t.co/hXhu36F1PT via @eurogamer https://t.co/5hkXXCxER3,[neutral],1.0
"Vantiv ShopTalk also asked consumers about their sentiment towards digital assistants, such as Apple's Siri and Microsoft's Cortana, and found that respondents use digital assistants",[neutral],1.0
@BenPaddon @logitech_g I have exactly the same model ! Programmed with all my art software shortcuts: ) Brilliant tech: ),[positive],1.0
"I wouldn't say it was an abrupt change, `` Yum Brands CEO Greg Creed said in a call with analysts on Thursday, in response to a question on Taco Bell and KFC's impressive quarter. `` KFC",[neutral],1.0
"McDonald's Corp's turnaround remained on track in the latest quarter despite intense competition in the United States, helped by all-day breakfast, `` McPick'' value promotions and",[positive],1.0
perfect sunday ( at Pizza Hut ) https://t.co/wUsTIVvlOM,[positive],1.0
@jadegunshefski also got Panera and left school early so it's obviously a good freaking day,[positive],1.0
I almost impulse bought a rocking chair and poncho from Cracker Barrel,[neutral],1.0
Send me free tacos for a week and I'll give you a puppy @tacobell,[positive],1.0
"To celebrate the return of Starbucks red holiday cups, customers who buy one holiday beverage and can get another one free* to share at participating Starbucks stores in the U. S. and",[neutral],1.0
"@realDonaldTrump Because of your bad character you deserve to lose,Mr Potbelly with tiny hands.",[neutral],1.0
#Odinsphere by #Atlus and #Vanillaware is beautiful action ! #ScreenshotSaturday #PS4share https://t.co/4kIfLkU0u0 https://t.co/B8x1vEn0CA,[neutral],1.0
Murata is adding to its small battery operations after agreeing in July to buy most of Sony Corp's battery division by the end of March 2017 for an undisclosed amount. In the business,[neutral],1.0
Cold weather is upon us which means Panera every day of life,[positive],1.0
@AstroIogySigns @emma_koss @saramorinn this is why we all get along,[neutral],1.0
"Digital storage companies Seagate Technology and Western Digital were both down in morning trading Tuesday. Seagate fell $ 2.52, or 6.6 percent, to $ 35.45, while Western Digital slid",[negative],1.0
"Yum ! ( at @Potbelly Sandwich Shop in New York, NY ) https://t.co/Zpv0EpYRVs",[positive],1.0
true love is when your boyfriend agrees to let you use his 50 % off Papa John's coupon,[neutral],1.0
the Sony/ATV music publishing catalog -- which includes the rights to many Beatles songs -- to Sony Corp,[neutral],1.0
"Interested in a #job in 4472 BELDEN VILLAGE, #CANTON, OH ? This could be a great fit: https://t.co/VXergZGqhW #Hospitality #Veterans #Hiring",[neutral],1.0
Day of meetings in London today ( @Hewlett Packard Enterprise - @hpe in London ) https://t.co/7AL8pcTihf,[neutral],1.0
A high school sophomore peed her pants and all over a booth at Panera today. That's my life.,[neutral],1.0
Free eBook - Build Your Own NetApp ONTAP 9 Lab - https://t.co/rxCraoi882 via @esloof,[neutral],1.0
Ryan went in on the McDonald's lady,[neutral],1.0
"The new computer system, being built by Hewlett-Packard under a $ 16. 5-million amended contract, will process motor-vehicle transactions now being handled by a 1980s mainframe. The",[neutral],1.0
"Insider trading: SVP & amp ; GM of Enterprise Bus. of $ IMPV Mark E. Kraynak sold 5,582 shares for $ 284,682. https://t.co/Suw1anTYaO",[neutral],1.0
Smart Men's Philips S5600/12 AquaTouch Wet/Dry Multi Precision Electric Shaver https://t.co/SW1XDAGOm8 https://t.co/mkqOdAEiRv,[neutral],1.0
Compare Now Trending From Our Partners You May Like Links by Zergnet Shop Books Parts & Accessories Shop Merchandise Shop Movies Auto Mundial 04/03/16 Consumer,[neutral],1.0
The new-branded KFC Extreme Speed Motorsport car qualified third for its first race #6hFuji #WEC,[neutral],1.0
So I always told my sister she looked like a Texas Roadhouse Roll and I was gon na photoshop one on her torpedo bell... https://t.co/Y7zuFdHskO,[neutral],1.0
RT @whatsonkroq: Linkin Park - Breaking the Habit #nowplaying,[neutral],1.0
The end of an era: BlackBerry will no longer make its own phones - https://t.co/W4K9k1oF7H,[negative],1.0
"There are third-party options you can try that are one-hand friendly, such as Microsoft's Word Flow for iOS ; it lays out the letters in an arc, which can help make pecking out messages",[neutral],1.0
Cheesecake Factory date with my baby #Birthdayboy https://t.co/E9P1rH9yGA,[positive],1.0
"My fitbit #Fitstats_en_CA for 10/27/2016: 13,859 steps and 5.9 miles traveled. https://t.co/GHO7HdKf2x",[neutral],1.0
"Just walked out of stats to go get a burrito from El Pollo Loco, came back and the class was exactly where I left it",[neutral],1.0
Protect Bay Area communities and the climate from toxic refinery pollution now ! https://t.co/RFAIfP88js,[neutral],1.0
"NEW YORK Dunkin Donuts, which is better known for its coffee, is revamping its hot tea lineup as it seeks to better compete with rivals like Starbucks. The chain got rid of the hot",[neutral],1.0
#Deals #USA #ebay #6258 Turtle Beach Ear Force X42 Wireless Gaming Headset w/ Dolby Surrou… https://t.co/WkBS2qpa31 https://t.co/T6xgoVc9my,[neutral],1.0
"D ana Gardner: Hello, and welcome to the next edition to the Hewlett Packard Enterprise ( HPE ) Voice of the Customer podcast series. I'm Dana Gardner, Principal Analyst at Interarbor",[neutral],1.0
Watchu bumpin gee ? ? `` thuggin by myself.. Kodak bitch'' @OPM_sonny,[neutral],1.0
Check out Skullcandy Uprock Headphones in Blue and Black https://t.co/I5Yx2Wc7bh @eBay,[neutral],1.0
"Marketers are using marketing cloud technology from Salesforce, Adobe, Google, Facebook and others to personalize and automate experiences across digital channels. And investment here",[neutral],1.0
"@1k_Santana dat shit not shakin but i fw Never Ever, Suicide, Free Kodak",[neutral],1.0
"Philips Hd5407/60 Automatic Coffee Maker 220v, 60hz Cafe Gourmet Black Genuine: Click Here ! ! If you are look... https://t.co/gCptub28Sd",[neutral],1.0
#Garmin #Gps Garmin Nuvi 2595LMT 5 `` GPS w/ Lifetime Maps & amp ; Traffic Updates https://t.co/9XAw5OT3Oz #Cars #Car https://t.co/b8tJE5kNJv,[neutral],1.0
"Besides Disney and Pixar, Mike is an avid fan of Apple, Inc. ; the music of The Beatles ; television shows 24, Law & Order, The Office, and reruns of Everybody Loves Raymond. His",[positive],1.0
@tyleerandco girl this fasho not el pollo loco lmaooooo or I'm tripping,[neutral],1.0
https://t.co/fwOfX48wS1 #listme resident evil 5 windows 8 gfwl,[neutral],1.0
new Philips dimmable 11 Watt = 75w PAR30L LED Flood medium base Light Bulb https://t.co/SE9cmQiG1U https://t.co/RPUEUitOwt,[neutral],1.0
Following a slightly better-than-expected fiscal Q1 report yesterday morning by hard disk drive maker Seagate Technology ( STX ) following a pre-announcement last week. Seagate shares fell,[neutral],1.0
Discover a whole new level of surveillance storage. Watch as Seagate unveils SkyHawk. https://t.co/U8d8EAiW73,[neutral],1.0
"Bill Maciatis, a tech industry veteran and former Salesforce and Zendesk executive who was hired as Slack's first Chief Marketing Officer back in 2014, stepped down a few months ago",[neutral],1.0
Going to @tctevents ? You must visit @HK3DS featuring @3dsystems ProJet MJP2500 https://t.co/WWhqkp7EfK,[neutral],1.0
"Digital storage companies Seagate Technology and Western Digital were both down in morning trading Tuesday. Seagate fell $ 2. 52, or 6. 6 percent, to $ 35. 45, while Western Digital slid",[negative],1.0
"Whose week sucked hardest, Apple ’s or Samsung ’s ? [ Friday Night Fight ] https://t.co/GB4hiHC8pG #topstories",[neutral],1.0
New commentary from @splunk @monzymerza on the #cyber workforce. Don't overlook the role of analysts. https://t.co/ZiwhXBPDyN,[neutral],1.0
When you run out of ya drink while eating a Popeyes biscuit&lt ; & lt ; & lt ; https://t.co/6D1WVhswYr,[neutral],1.0
@KamronBradbury @DaveandBusters Have you been drinking ? That's a sign you need to stop. NOW,[negative],1.0
LIVE @DaveandBusters #Fresno on. @KSEE24 Sunrise. Grand-opening 10/17. https://t.co/7ZrJgkgczO,[neutral],1.0
"I am using a T4-1 for the system to demonstrate the networking and LDom set, a T5120 as are remote system on the network, and a Netgear GS716T Smart Switch between the two. The GS716T",[neutral],1.0
"As many of you know, in the past year alone, Nick has worked to incorporate Splunk technologies into complex, distributed architectures across the federal government, including",[neutral],1.0
"Good Times Restaurants Inc. $ GTIM Major Shareholder Delta Partners Lp Purchases 33,152 Shares https://t.co/kKcasjyx9S",[neutral],1.0
"Working alongside Sleeth, Starbucks design manager Katie Perkins selected materials to make the stores warm and inviting. When customers enter these stores, they will see beautiful",[positive],1.0
"Xperia Blog SmartWatch 3 update ( M1D63X ) live with September security patches by XB on 30th September 2016 Tweet Sony Mobile is rolling a new firmware update for the SmartWatch 3,",[neutral],1.0
NetApp introduces new data solutions for hybrid Cloud https://t.co/9uYxglrbPN #HybridCloud,[neutral],1.0
"Turtle Beach - Superhuman Hearing, Virtual Reality und Livestreaming sind Highlights... - https://t.co/kLQczVxKiW https://t.co/kwmVAERP0a",[neutral],1.0
Weekly Analysts Ratings Changes for 3D Systems Corp. $ DDD https://t.co/wPZWAFMuHm,[neutral],1.0
InvisibleShield Glass+ for the Apple iPhone 7 and Plus Apple iPhone 7 Plus https://t.co/O2otxuAAuG Just ordered one for my #iPhone7plus.,[neutral],1.0
. @HPE showcasing the future of #cloud in a very engaging way ! #IPEXPO https://t.co/Vjp97HQWB2,[positive],1.0
$ GTIM Good Times Restaurants Inc. Correlation Histogram https://t.co/UBBsHaNvuT Share #BigData #Database #Analysis info,[neutral],1.0
"@mishcoIlins I will look for more and send you them- any preferences ? Fluff, smut, a/b/o, AU, canon, any particular kinks, etc ?",[neutral],1.0
@cierramag McDonald's & gt ; Taco Bell,[neutral],1.0
Did you know the SLA-1 is an ASME Historic Mechanical Engineering Landmark ? Pioneered by 3D Systems Co-Founder... https://t.co/IQA9wMU4FE,[neutral],1.0
@BearcatNeal @BearcatEd_30 he will be awake... he goes to Cracker Barrel for the early morning special,[positive],1.0
"Now, that 2nd-and-34 pass for 56 yards to Evans was a bit of luck, but he also fired a couple of bullets to Darboh and Butt in coverage, including on a cross-field pass from Peppers,",[neutral],1.0
"Wickman says she's old-school when it comes to running gear, yet rattles off a list of items she uses to help her during training and racing, including specialty running clothes made",[neutral],1.0
"Starbucks Inc., up 54 cents to $ 53.15 The coffee chain said it plans to double the number of its stores in China in five years. Reynolds American Inc., down 98 cents to $ 46.29 Reynolds",[neutral],1.0
Cultivate the habit of having a grateful heart.,[neutral],1.0
"Newegg Daily Deals: MSI Apache-235 Laptop, Seagate 4TB HDD, and More ! https://t.co/LUMyPkzhAH https://t.co/RsOPEN4F8v",[neutral],1.0
"With the power of Continuum and HP's accessories, the HP Elite x3 Desk Dock and HP Elite x3 Lap Dock, the HP Elite x3 can be used as three separate devices a phone, a tablet or a PC",[neutral],1.0
I have the habit of keeping people at arms length,[neutral],1.0
Logitech Cordless Rumblepad 2 with Vibration Feedback ( Black ) https://t.co/vkMBKrwbDB https://t.co/tFmo6KF3WY,[neutral],1.0
How Fitbit ’s UX Has Changed ( 2008–2016 ) | @scoopit https://t.co/IFBjVVEKvF,[neutral],1.0
"Mahoney, who worked for 35 years in management with Hewlett-Packard, said he will bring a unique perspective to the board. I am the only candidate that combines the high-tech",[neutral],1.0
"Our Friday 28th Oct Halloween Boat & amp ; Club theme EL DIA DE LOS MUERTOS is proving popular. #Calaca, #Calavera... https://t.co/SaPQROdPik",[neutral],1.0
"If I can do it, then so can you. Please RT. Hope it will inspire others to kick the habit. https://t.co/ObkfR3DQvz",[neutral],1.0
"Up to 95 % off all #Udemy online courses today, including #tableau courses. Use https://t.co/vz01HbwE9n for discount",[neutral],1.0
"New #JanelaShow w/ @AJCassavell Topics: 2016 Padres, covering NLDS game 5, Mike Dee, In-N-Out vs. Shake Shack, more https://t.co/0kVM8f12ug",[neutral],1.0
Lol #bomblivesmatter #bomblife @Starbucks https://t.co/FeqPGr9HlS,[positive],1.0
@3jaytooflat at popeyes,[neutral],1.0
"Redzic, formerly of Motorola and Nokia, told reporters Tuesday at Nissan's Yokohama headquarters that the alliance has begun hiring 300 people to build such software applications for",[neutral],1.0
@KevinBassStache The Fuddruckers at Brodie Oaks ? I know it well.,[positive],1.0
RelNews: Papa John's pizzas keen to open three more Hull sites creating 100 jobs -Hull Daily Mail- https://t.co/CeMikBBWUf,[neutral],1.0
#UEI Universal Electronics Inc. ( #) Sees Unusually-High Trading Volume. Read more: https://t.co/iXqVPRZDgD $ UEIC,[positive],1.0
I want Texas Roadhouse rolls so bad,[positive],1.0
"Philips Hue Personal Wireless Lighting Home Automation Bridge 2.0, Apple Home Kit Ena https://t.co/H0xCmy9NEB https://t.co/koU2SHJeq8",[neutral],1.0
iPhone 7 Plus International Giveaway @tabtimes #giveaway https://t.co/u4dEbGs1LY,[neutral],1.0
Taco Bell: FREE Doritos Locos Taco On November 2nd ( 2-6pm ) via Couponing to Disney - In... https://t.co/56FrEkkB13,[neutral],1.0
I love how every time Courtney and I go to BWW we get a crap ton of cherries,[positive],1.0
"Noone ever took me to cheesecake factory on my bday, some friends I got here & lt ; /3",[positive],1.0
"The Canon Power Zoom Adapter PZ-E1 was introduced at the same time as the Canon EOS 80D, and the EF-S 18-135mm f/3. 5-5. 6IS USM Nano USM lens. It allows for the lens to be transformed",[neutral],1.0
"32 % which makes parts for Apple Inc., AAPL 0. 51 % Cisco Systems Inc. CSCO -0. 39 %",[neutral],1.0
@SprSecretSqrl Being cucked by 3rd wave feminism this hard. Good luck on a business model of posturing to radfem hatemongerers. @LogitechG,[neutral],1.0
"How this Canadian Trucking Firm is Saving Time and Money with BlackBerry Radar, Our IoT Asset Tracking System … https://t.co/81VNf25RYV",[positive],1.0
Whites Koss E-9000 Metal Detector Headphones https://t.co/tnC65kAhlM,[neutral],1.0
Earned 2 PS4 trophies ( 2 bronze ) in Mafia III - https://t.co/lkCXJGBYSO,[neutral],1.0
Hella want tacos from jack in the box rn,[positive],1.0
Really tired of my @skullcandy headphones breaking,[negative],1.0
@jojohernandez10 Texas Roadhouse. Come through and eat some dinner and see me !,[neutral],1.0
Seedy skullcandy headphones: nptmR https://t.co/KX53NDhnGh,[neutral],1.0
Aaaaaaaaaaaaahhhh my bae @DunkinDonuts https://t.co/FE2aoquuzf,[positive],1.0
Dave & amp ; Buster's Gift Cards - E-mail Delivery: Dave & amp ; Buster's Gift Cards - E-mail Delivery by Dave & amp ; Buster's 117 %... https://t.co/NPEfdKzQ1B,[neutral],1.0
"5 percent amid deal talks, while Microsoft Corp. surged to a record after its earnings topped estimates.",[positive],1.0
Stop by #huden tomorrow for dinner in #chicago for a chance to win a free pair of these awesome #skullcandy... https://t.co/9CwKtQdC0O,[positive],1.0
#bisai A tiny startup called SnapRoute has overthrown Hewlett Packard Enterprise from leading its own project... https://t.co/QSo1PHsz2q,[neutral],1.0
Enter to Win a $ 50 Panera Bread Gift Card #giveaway @MaxwellsAttic https://t.co/OUYtP8sCQz,[neutral],1.0
Welcome @bluemedora to the NetApp Custom Group ! @NetAppPartners https://t.co/6a7DFb7yvq,[positive],1.0
I just checked in @CrackerBarrel with #mPLUSPlaces Download today ! https://t.co/cF9npRUq7l,[neutral],1.0
Friendship ! #Hawaii #scuba #Gopro #whitetipreefshark #coralreef #blackdurgeontriggerfish … https://t.co/KmkFYmGrA8 https://t.co/NKA3E7WYvN,[neutral],1.0
"His humble character was brought to the surface as he delivered the speech, letting the audience know that his level of fame is perfectly balanced, allowing him to `` Go to the",[neutral],1.0
Classy in the Habit pump from Payless Shoe Source. https://t.co/dTvxnSV8LL,[neutral],1.0
"Several years into that disastrous conflict, our militarys dwindling ranks needed replenishment, so the Pentagon leaned on the California National Guard to recruit more canon fodder.",[neutral],1.0
Find out what does and doesn't work in cyber security. The @imperva CISO shares all in a live webinar on Nov. 3.... https://t.co/LzWKSKDZBU,[neutral],1.0
HP Inc could cut 3000 to 4000 jobs over next three years - CNBC: CNBC HP Inc could cut 3000 to 4000 jobs over next... https://t.co/DQF1jnVLPs,[negative],1.0
@Garmin @GarminFitness you guys need to analyze the data like trainingpeaks cus it sucks the way it is,[negative],1.0
I wish tally had a Cheesecake Factory,[positive],1.0
@BuzzFeedBooks Check out this graph of every spell in Harry Potter https://t.co/VR9BDt0hII,[neutral],1.0
Camera Front Body Cover + Rear Lens Cap Hood for DSLR SLR Canon EOS EF EF-S EFS Rebel https://t.co/LWD581myt0 https://t.co/BdjBwD9ZTC,[neutral],1.0
yo wingstop sounds hella nice now that i saw that pic,[positive],1.0
"It's Cardinals Appreciation Day ALL DAY TODAY at @PapaJohns ! 50 % off your order until 4am in Muncie, Marion & amp ; Anderson ! #ChirpChirp",[neutral],1.0
Canon Powershot G3 X 20.2MP 25x Optical Zoom 1080p Full HD WiFi Digital Compact Camera... https://t.co/GonfNnSQG5,[neutral],1.0
KODAK SAFELIGHT WITH TYPE OA FILTER AND 15 WATT BULB https://t.co/k8Fb57urVB https://t.co/KotFPql4bu,[neutral],1.0
"trabalhos para clientes importantes, incluindo a American Honda Motor Company, Mondelez, Coca-Cola, Microsoft e Sprint",[neutral],1.0
Logitech MX800 Wireless Performance Combo Keyboard and Mouse https://t.co/HOUvj0U4KR https://t.co/lTVNd9seFu,[neutral],1.0
@Plantronics was so excited for my purchase of the backbeat headphones only to find out they were defective and couldn't get them to turn on,[negative],1.0
"Oh my, this looks really good. I'm getting excited about a phone only to be released in Europe. https://t.co/pF927BfNV2",[positive],1.0
@michaelxswamp go eat some McDonald's,[positive],1.0
New Turtle Beach Ear Force Stealth 500P Wireless Gaming Headset #sp534 https://t.co/y8uKl32tBn https://t.co/e7AyjwbN9x,[neutral],1.0
Competitive Landscape 6.1 Apple Inc. 6.2 Samsung Electronics Co. Ltd. 6.3 LG Electronics Inc. 6.4 Philips 6.5 Hewlett Packard 6.6 Hitachi Ltd 6.7 Sony Corporation 6.8 Toshiba,[neutral],1.0
#Deals https://t.co/PKJuZIfTBu #4322 4 pcs Belden 6 feet Low Voltage Computer Cable w/ 27 pin AMP Connectors E1089… https://t.co/LNzjiRCzAb,[neutral],1.0
"Real talk Plainview needs a Cracker Barrel, so I can get my Chicken and Dumplings And there so good there.",[positive],1.0
"Fitbit, Jawbone, Garmin and Mio fitness bands criticized for privacy failings https://t.co/8akOWoZV5B",[negative],1.0
`` Look at how much more efficient you can be.'' Mike Zill of Becton Dickinson presenting at #GartnerSYM. #ServiceNow https://t.co/XJBTgrW9DG,[neutral],1.0
GoPro Hero5 Black Vs Hero5 Session: What's The Difference ? https://t.co/r1VH1TzxNf,[neutral],1.0
Popeyes&gt ;,[neutral],1.0
"#manuals Universal Electronics M11055 User Manual, Owners guide and Instructions - TBM018321710008 https://t.co/vZXkraxzKR",[neutral],1.0
"I want seafood junction, jerk city, uncle joes, and Texas Roadhouse. 😭 and Chickfila",[positive],1.0
Controlla le trasmissioni dalla mia PlayStation 4 ! #PS4live ( Rise of the Tomb Raider ) live at https://t.co/ndjtLT6DbF,[neutral],1.0
Replace LH-DC60 Lens Hood for Canon PowerShot SX1 SX10 SX20 SX30 SX40 SX50 https://t.co/Bwn6U1RAXR https://t.co/qlOkR9KuZh,[neutral],1.0
Going to Panera Bread ? Go for free with $ 50 ride credit with Lyft & lt ; The code is: VEX & gt ; #struggle #treatyoself #noregrets,[neutral],1.0
Download the game in the Apple App Store and on Google Play: http://bit. ly/2eHJy3X Backflip Studios develops and publishes absurdly fun mobile games for iOS and Android devices. The,[neutral],1.0
Therewith views in reference to garmin gps: UZjrk,[neutral],1.0
"The former CEO of Hewlett-Packard had dropped out of the race but joined Ted Cruz as his running mate. In early May 2016, she introduced the Cruz family in Lafayette, Ind., and",[neutral],1.0
@styleit what are potbelly cookies ? !,[neutral],1.0
Farmers previously pushed back on Chipotle Mexican Grill Inc for advertising of its non-GMO ingredients and fought hard against efforts by states including Vermont to introduce,[neutral],1.0
@papamurphys picked up a `` gourmet'' Mediterranean and pizza and this is the first thing I noticed #disgusting https://t.co/vm5lFNTWKH,[negative],1.0
#realtek hd audio driver windows 7 64 bit free download https://t.co/x30Ej9TlGA,[neutral],1.0
Was he thinking if I don't get in I'll Koss her ask to not pay taxes ? #debatenight https://t.co/UXEOnkd9oC,[neutral],1.0
"Jack in the Box is now serving an all-day `` Brunchfast'' menu By Joanna Fantozzi Published September 30, 2016 Can't decide between and egg sandwich or fried chicken ? Have both at",[positive],1.0
Sooooo Twitter is on sale. I quite did see this coming though. Hopefully Salesforce buys it.,[positive],1.0
I got pizza hut instead of domino's bc I wanted breadsticks and it was only 30 more than if I just got a pizza from domino's,[neutral],1.0
